site_num,site_name
001019,KALUMBURU
002079,HALLS CREEK AIRPORT
003003,BROOME AIRPORT
004032,PORT HEDLAND AIRPORT
004106,MARBLE BAR
005007,LEARMONTH AIRPORT
005098,KARIJINI NORTH
006011,CARNARVON AIRPORT
007045,MEEKATHARRA AIRPORT
008296,MORAWA AIRPORT
008297,DALWALLINU
008315,GERALDTON AIRPORT
009021,PERTH AIRPORT
009518,CAPE LEEUWIN
009617,BRIDGETOWN
009789,ESPERANCE
009999,ALBANY AIRPORT
010092,MERREDIN
010286,CUNDERDIN AIRFIELD
010916,KATANNING
010917,WANDERING
011003,EUCLA
011052,FORREST
012038,KALGOORLIE-BOULDER AIRPORT
013017,GILES METEOROLOGICAL OFFICE
014015,DARWIN AIRPORT
014825,VICTORIA RIVER DOWNS
015135,TENNANT CREEK AIRPORT
015590,ALICE SPRINGS AIRPORT
015666,RABBIT FLAT
016001,WOOMERA AERODROME
016098,TARCOOLA AERO
017043,OODNADATTA AIRPORT
017126,MARREE AERO
018012,CEDUNA AMO
018044,KYANCUTTA
018192,PORT LINCOLN AWS
021133,RAYVILLE PARK
022823,CAPE BORDA
023000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)
023373,NURIOOTPA PIRSA
026021,MOUNT GAMBIER AERO
026026,ROBE
027045,WEIPA AERO
027058,HORN ISLAND
028004,PALMERVILLE
029063,NORMANTON AIRPORT
029077,BURKETOWN AIRPORT
030124,GEORGETOWN AIRPORT
030161,RICHMOND AIRPORT
031011,CAIRNS AERO
032040,TOWNSVILLE AERO
033119,MACKAY M.O
034084,CHARTERS TOWERS AIRPORT
036007,BARCALDINE POST OFFICE
036031,LONGREACH AERO
037010,CAMOOWEAL TOWNSHIP
038003,BOULIA AIRPORT
038026,BIRDSVILLE AIRPORT
039066,GAYNDAH AIRPORT
039083,ROCKHAMPTON AERO
039128,BUNDABERG AERO
040004,AMBERLEY AMO
040043,CAPE MORETON LIGHTHOUSE
040842,BRISBANE AERO
042112,MILES CONSTANCE STREET
043109,ST GEORGE AIRPORT
044021,CHARLEVILLE AERO
045025,THARGOMINDAH AIRPORT
046012,WILCANNIA AERODROME AWS
046126,TIBOOBURRA AIRPORT
048027,COBAR MO
048245,BOURKE AIRPORT AWS
050017,WEST WYALONG AIRPORT AWS
052088,WALGETT AIRPORT AWS
053115,MOREE AERO
055024,GUNNEDAH RESOURCE CENTRE
056242,INVERELL (RAGLAN ST)
058012,YAMBA PILOT STATION
059151,COFFS HARBOUR AIRPORT
060168,PORT MACQUARIE AIRPORT AWS
061078,WILLIAMTOWN RAAF
061363,SCONE AIRPORT AWS
063005,BATHURST AGRICULTURAL STATION
065070,DUBBO AIRPORT AWS
066214,SYDNEY (OBSERVATORY HILL)
067105,RICHMOND RAAF
068072,NOWRA RAN AIR STATION AWS
068151,POINT PERPENDICULAR AWS
069018,MORUYA HEADS PILOT STATION
070351,CANBERRA AIRPORT
072150,WAGGA WAGGA AMO
072161,CABRAMURRA SMHEA AWS
074258,DENILIQUIN AIRPORT AWS
076031,MILDURA AIRPORT
078015,NHILL AERODROME
080023,KERANG
082039,RUTHERGLEN RESEARCH
084016,GABO ISLAND LIGHTHOUSE
084145,ORBOST
085072,EAST SALE
085096,WILSONS PROMONTORY LIGHTHOUSE
086338,MELBOURNE (OLYMPIC PARK)
087031,LAVERTON RAAF
090015,CAPE OTWAY LIGHTHOUSE
091293,LOW HEAD
091311,LAUNCESTON AIRPORT
092045,LARAPUNA (EDDYSTONE POINT)
094029,HOBART (ELLERSLIE ROAD)
094198,CAPE BRUNY (CAPE BRUNY)
094220,GROVE (RESEARCH STATION)
096003,BUTLERS GORGE
001019,KALUMBURU
002079,HALLS CREEK AIRPORT
003003,BROOME AIRPORT
004032,PORT HEDLAND AIRPORT
004106,MARBLE BAR
005007,LEARMONTH AIRPORT
005098,KARIJINI NORTH
006011,CARNARVON AIRPORT
007045,MEEKATHARRA AIRPORT
008296,MORAWA AIRPORT
008297,DALWALLINU
008315,GERALDTON AIRPORT
009021,PERTH AIRPORT
009518,CAPE LEEUWIN
009617,BRIDGETOWN
009789,ESPERANCE
009999,ALBANY AIRPORT
010092,MERREDIN
010286,CUNDERDIN AIRFIELD
010916,KATANNING
010917,WANDERING
011003,EUCLA
011052,FORREST
012038,KALGOORLIE-BOULDER AIRPORT
013017,GILES METEOROLOGICAL OFFICE
014015,DARWIN AIRPORT
014825,VICTORIA RIVER DOWNS
015135,TENNANT CREEK AIRPORT
015590,ALICE SPRINGS AIRPORT
015666,RABBIT FLAT
016001,WOOMERA AERODROME
016098,TARCOOLA AERO
017043,OODNADATTA AIRPORT
017126,MARREE AERO
018012,CEDUNA AMO
018044,KYANCUTTA
018192,PORT LINCOLN AWS
021133,RAYVILLE PARK
022823,CAPE BORDA
023000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)
023373,NURIOOTPA PIRSA
026021,MOUNT GAMBIER AERO
026026,ROBE
027045,WEIPA AERO
027058,HORN ISLAND
028004,PALMERVILLE
029063,NORMANTON AIRPORT
029077,BURKETOWN AIRPORT
030124,GEORGETOWN AIRPORT
030161,RICHMOND AIRPORT
